               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098511,             0.11884,             0.02574,             0.70581,              0.3352,             0.27885,            0.084637,             0.08952,             0.16978,            0.020395,            0.070857,           0.0032381,           0.0032381
                   1,            0.077226,            0.095226,            0.020631,              0.1746,             0.65306,             0.18875,             0.04637,               0.074,            0.074425,             0.01904,            0.040792,           0.0065064,           0.0065064
                   2,            0.082099,            0.082649,            0.020461,             0.10792,              0.7148,             0.14021,             0.04562,            0.079064,            0.065842,            0.018752,            0.010661,           0.0097086,           0.0097086
                   3,            0.072984,            0.081394,            0.019932,             0.73973,             0.42294,              0.4484,             0.17957,            0.060856,            0.072652,            0.018386,            0.009703,            0.009703,            0.009703
                   4,            0.061813,            0.075764,            0.019733,             0.28741,              0.8915,             0.51041,             0.24514,            0.046758,            0.069287,               0.018,            0.009703,            0.009703,            0.009703
                   5,            0.050955,            0.078298,            0.019508,              0.4511,             0.89677,             0.74631,             0.29914,            0.046526,            0.059325,            0.017502,            0.009604,            0.009604,            0.009604
                   6,            0.048721,            0.074369,            0.018784,              0.4839,             0.78329,             0.68872,             0.36555,            0.045749,             0.06012,            0.016599,            0.009505,            0.009505,            0.009505
                   7,            0.044925,            0.071217,            0.017725,             0.73332,             0.89665,             0.84506,             0.53584,             0.03371,            0.053169,             0.01537,            0.009406,            0.009406,            0.009406
                   8,            0.042862,            0.067012,            0.016732,             0.77931,             0.86355,             0.87665,             0.39549,             0.03813,            0.054152,            0.014361,            0.009307,            0.009307,            0.009307
                   9,            0.040125,            0.067431,            0.015658,             0.75129,             0.90642,             0.90817,             0.57054,            0.029581,            0.052374,            0.013216,            0.009208,            0.009208,            0.009208
                  10,            0.040368,            0.063935,             0.01427,             0.79461,             0.90345,             0.92886,              0.5425,            0.033969,            0.053137,            0.011783,            0.009109,            0.009109,            0.009109
                  11,            0.039021,            0.063434,            0.012716,             0.90503,             0.90768,             0.92549,             0.49437,            0.033074,             0.05486,           0.0097865,             0.00901,             0.00901,             0.00901
                  12,            0.037202,            0.065608,            0.010584,             0.92245,             0.90102,             0.94916,             0.56525,            0.033072,              0.0495,           0.0080195,            0.008911,            0.008911,            0.008911
                  13,            0.036647,            0.060139,           0.0087839,             0.92494,             0.88027,             0.95085,             0.66262,            0.033055,            0.051041,           0.0066215,            0.008812,            0.008812,            0.008812
                  14,            0.036555,            0.060785,           0.0080025,             0.94968,             0.93844,              0.9716,             0.67768,            0.029179,            0.047882,           0.0058642,            0.008713,            0.008713,            0.008713
                  15,            0.034562,            0.058768,           0.0073998,             0.91382,             0.92497,             0.96549,             0.68354,            0.027974,             0.04621,           0.0054015,            0.008614,            0.008614,            0.008614
                  16,            0.033416,            0.057214,           0.0070462,               0.942,             0.94034,             0.97323,             0.67975,            0.027087,            0.044873,           0.0052887,            0.008515,            0.008515,            0.008515
                  17,            0.033274,            0.058244,           0.0063079,             0.97493,             0.95866,             0.97373,             0.68705,            0.026427,            0.045628,           0.0048447,            0.008416,            0.008416,            0.008416
                  18,            0.033929,             0.05947,           0.0062377,             0.97801,              0.9547,             0.97691,             0.68604,             0.03077,            0.045999,           0.0044502,            0.008317,            0.008317,            0.008317
                  19,              0.0314,            0.057719,            0.005528,             0.98181,             0.96693,             0.98032,             0.76032,            0.023404,            0.042258,           0.0039799,            0.008218,            0.008218,            0.008218
                  20,            0.031795,            0.055347,           0.0052623,             0.98593,             0.97174,             0.98166,             0.70752,            0.025193,            0.043246,           0.0038667,            0.008119,            0.008119,            0.008119
                  21,            0.032929,            0.056737,           0.0049523,             0.98466,             0.97398,             0.98247,             0.70961,            0.023453,            0.042813,           0.0036997,             0.00802,             0.00802,             0.00802
                  22,            0.028492,             0.05498,           0.0048417,             0.98695,             0.97302,             0.98299,             0.79849,             0.02279,            0.042102,           0.0033556,            0.007921,            0.007921,            0.007921
                  23,            0.028958,            0.052174,           0.0047737,             0.98413,             0.97197,             0.98667,             0.77149,            0.022114,            0.040704,           0.0034313,            0.007822,            0.007822,            0.007822
                  24,            0.029012,            0.052854,           0.0045196,             0.98146,             0.98118,             0.98989,             0.77347,            0.024134,            0.041738,           0.0029604,            0.007723,            0.007723,            0.007723
                  25,            0.029209,             0.05421,           0.0042435,              0.9873,             0.98139,             0.99116,             0.76198,              0.0214,            0.039052,           0.0029165,            0.007624,            0.007624,            0.007624
                  26,            0.028195,            0.053938,           0.0041538,             0.98571,             0.98291,             0.99074,             0.80668,            0.021888,            0.040703,           0.0029189,            0.007525,            0.007525,            0.007525
                  27,            0.029872,            0.052119,           0.0037772,             0.98776,             0.98282,             0.99088,             0.80094,            0.021383,            0.038263,           0.0025954,            0.007426,            0.007426,            0.007426
                  28,            0.027818,             0.04928,           0.0038528,             0.98987,              0.9811,             0.99329,             0.78774,            0.021389,             0.03885,           0.0027365,            0.007327,            0.007327,            0.007327
                  29,            0.027575,            0.051117,           0.0040319,             0.98834,             0.97488,             0.99023,             0.78147,            0.023729,            0.040508,            0.002664,            0.007228,            0.007228,            0.007228
                  30,            0.026402,               0.052,           0.0036823,             0.98497,             0.98178,             0.98949,             0.82667,            0.020758,            0.042203,           0.0025045,            0.007129,            0.007129,            0.007129
                  31,            0.027471,            0.050319,           0.0035934,             0.98839,             0.98267,             0.99297,             0.80703,            0.021289,            0.037491,           0.0023139,             0.00703,             0.00703,             0.00703
                  32,            0.027589,            0.049412,           0.0033294,             0.98613,             0.98401,             0.99228,             0.81689,            0.021313,            0.037703,           0.0022883,            0.006931,            0.006931,            0.006931
                  33,            0.027093,            0.050214,           0.0033802,             0.99096,             0.98714,             0.99369,             0.84624,             0.01823,            0.035143,           0.0024683,            0.006832,            0.006832,            0.006832
                  34,            0.025817,            0.048627,           0.0033864,             0.98543,             0.98844,             0.99236,             0.84364,             0.01947,             0.03632,           0.0022123,            0.006733,            0.006733,            0.006733
                  35,            0.025076,              0.0488,           0.0032197,             0.98751,             0.98858,             0.99322,             0.86625,            0.018408,             0.03662,            0.002078,            0.006634,            0.006634,            0.006634
                  36,            0.025116,            0.047726,           0.0030938,              0.9936,             0.97942,             0.99354,             0.83165,            0.019064,            0.037268,            0.001995,            0.006535,            0.006535,            0.006535
                  37,            0.024937,            0.048925,           0.0031333,             0.98631,             0.98282,             0.99264,              0.8528,            0.017146,            0.034331,           0.0020647,            0.006436,            0.006436,            0.006436
                  38,            0.025303,            0.048172,           0.0029991,             0.98769,             0.98658,             0.99313,             0.87041,            0.018615,            0.035223,            0.002054,            0.006337,            0.006337,            0.006337
                  39,            0.025369,            0.048164,            0.002936,             0.98917,             0.98503,             0.99362,             0.82691,            0.019904,            0.036719,           0.0019229,            0.006238,            0.006238,            0.006238
                  40,            0.024953,            0.046691,           0.0028871,             0.98788,             0.98844,              0.9911,             0.85789,            0.018002,            0.034679,           0.0019246,            0.006139,            0.006139,            0.006139
                  41,            0.023314,            0.046042,           0.0029342,             0.99328,             0.98161,             0.99348,             0.89408,            0.015431,            0.035043,           0.0020159,             0.00604,             0.00604,             0.00604
                  42,            0.023571,             0.04477,           0.0028382,             0.97839,             0.99115,             0.99147,             0.85404,            0.019122,            0.036349,           0.0019564,            0.005941,            0.005941,            0.005941
                  43,            0.024206,            0.044409,           0.0027775,              0.9872,             0.98987,             0.99079,             0.82803,            0.018548,            0.034383,           0.0019781,            0.005842,            0.005842,            0.005842
                  44,            0.023844,            0.046148,           0.0026091,             0.99017,             0.98844,             0.99447,             0.85655,            0.017823,             0.03346,           0.0017632,            0.005743,            0.005743,            0.005743
                  45,            0.023647,            0.044899,            0.002912,             0.99096,             0.98881,             0.99426,             0.87035,            0.017273,            0.032933,            0.001816,            0.005644,            0.005644,            0.005644
                  46,            0.022374,            0.044474,           0.0026918,             0.99197,             0.98214,             0.99339,             0.85393,            0.018673,            0.035023,           0.0020106,            0.005545,            0.005545,            0.005545
                  47,            0.023182,            0.044658,           0.0026518,             0.98479,             0.98622,             0.98881,             0.86185,            0.016602,            0.032306,           0.0020273,            0.005446,            0.005446,            0.005446
                  48,            0.023141,            0.043942,           0.0026571,             0.98687,             0.98112,             0.99066,             0.86129,             0.01687,            0.033281,           0.0021367,            0.005347,            0.005347,            0.005347
                  49,            0.022023,            0.042959,           0.0024377,             0.98126,              0.9927,             0.99266,             0.88611,            0.015937,            0.031415,           0.0018007,            0.005248,            0.005248,            0.005248
                  50,             0.02189,            0.044651,           0.0025194,             0.99174,              0.9835,             0.99272,             0.87197,            0.018078,             0.03318,            0.001822,            0.005149,            0.005149,            0.005149
                  51,            0.021842,            0.043958,           0.0025185,             0.98905,             0.98613,              0.9917,             0.88046,            0.015664,            0.031662,           0.0019026,             0.00505,             0.00505,             0.00505
                  52,            0.021847,            0.043377,           0.0026058,             0.99024,             0.98994,             0.99302,             0.88192,            0.015207,            0.031453,           0.0017286,            0.004951,            0.004951,            0.004951
                  53,            0.021006,             0.04236,           0.0022567,              0.9885,             0.98868,              0.9915,             0.87991,            0.016285,            0.032815,           0.0018134,            0.004852,            0.004852,            0.004852
                  54,            0.021044,             0.04162,           0.0023758,             0.98303,             0.98893,             0.99289,             0.87104,            0.016333,            0.031657,           0.0016857,            0.004753,            0.004753,            0.004753
                  55,            0.021056,            0.041295,           0.0024455,              0.9878,             0.99107,             0.99315,              0.8966,            0.014799,            0.029664,           0.0016844,            0.004654,            0.004654,            0.004654
                  56,            0.021364,            0.042606,           0.0024792,             0.98783,             0.98844,             0.99382,             0.89071,            0.015439,            0.030658,           0.0016438,            0.004555,            0.004555,            0.004555
                  57,            0.021105,            0.041697,           0.0024442,             0.98926,             0.98844,             0.99219,             0.90265,            0.013942,            0.028198,           0.0017235,            0.004456,            0.004456,            0.004456
                  58,            0.020107,            0.040781,           0.0024742,             0.98874,             0.98937,             0.99166,             0.88857,            0.014763,            0.030638,           0.0017056,            0.004357,            0.004357,            0.004357
                  59,            0.020033,            0.038851,           0.0024277,             0.99097,             0.98963,             0.99138,             0.88457,            0.015017,            0.029919,           0.0017049,            0.004258,            0.004258,            0.004258
                  60,            0.019594,            0.039009,            0.002244,             0.98856,             0.99181,              0.9937,             0.89737,            0.015713,            0.031245,           0.0016898,            0.004159,            0.004159,            0.004159
                  61,             0.02014,            0.040941,            0.002284,             0.98954,             0.99359,             0.99252,              0.9015,            0.014678,            0.030335,           0.0016283,             0.00406,             0.00406,             0.00406
                  62,            0.019358,            0.039552,           0.0021218,             0.98819,             0.99391,             0.99305,             0.89556,            0.014681,              0.0305,           0.0016001,            0.003961,            0.003961,            0.003961
                  63,            0.019448,            0.039759,           0.0021219,              0.9892,              0.9921,             0.99288,             0.90338,            0.014735,            0.030286,           0.0016246,            0.003862,            0.003862,            0.003862
                  64,            0.018933,            0.038197,            0.002135,             0.98835,              0.9916,             0.99251,             0.89394,            0.014843,            0.029788,           0.0016453,            0.003763,            0.003763,            0.003763
                  65,            0.018963,            0.039031,           0.0019591,             0.98824,             0.99097,             0.99364,              0.9106,            0.014698,            0.030341,           0.0015743,            0.003664,            0.003664,            0.003664
                  66,            0.018409,            0.037946,           0.0021861,             0.98618,             0.99115,             0.99328,             0.91396,            0.013515,            0.028597,           0.0015477,            0.003565,            0.003565,            0.003565
                  67,            0.018715,            0.039009,           0.0022804,             0.98671,             0.98963,             0.99179,             0.91808,            0.013582,            0.029296,           0.0016449,            0.003466,            0.003466,            0.003466
                  68,            0.018663,            0.038743,           0.0021201,             0.98905,             0.99354,             0.99262,             0.90777,             0.01453,            0.029779,           0.0015768,            0.003367,            0.003367,            0.003367
                  69,            0.018225,            0.037606,           0.0021738,             0.98948,              0.9905,             0.99265,             0.91838,            0.013622,             0.02977,           0.0015693,            0.003268,            0.003268,            0.003268
                  70,            0.017894,            0.038734,           0.0020376,             0.98964,             0.98789,             0.99361,             0.90777,            0.013533,            0.028599,           0.0015174,            0.003169,            0.003169,            0.003169
                  71,            0.018244,            0.037893,           0.0021434,             0.98672,             0.98585,              0.9911,             0.91596,             0.01342,            0.029066,           0.0017251,             0.00307,             0.00307,             0.00307
                  72,            0.018333,            0.037946,           0.0020812,             0.98871,              0.9835,             0.99008,             0.91678,            0.013175,            0.029339,           0.0017755,            0.002971,            0.002971,            0.002971
                  73,            0.017851,            0.037511,           0.0019479,             0.98587,             0.98823,             0.99238,             0.92365,            0.013487,             0.02781,           0.0015814,            0.002872,            0.002872,            0.002872
                  74,            0.017169,            0.034832,           0.0019628,             0.98531,             0.99184,             0.99362,             0.91596,             0.01324,            0.028507,           0.0015008,            0.002773,            0.002773,            0.002773
                  75,            0.017198,            0.036379,           0.0019396,             0.99165,             0.99482,             0.99411,             0.92883,             0.01266,            0.027343,           0.0013612,            0.002674,            0.002674,            0.002674
                  76,            0.017235,            0.036758,           0.0020293,             0.99279,             0.99199,              0.9937,             0.92567,            0.012804,            0.027299,           0.0013739,            0.002575,            0.002575,            0.002575
                  77,            0.016848,            0.035085,           0.0018971,             0.99289,             0.98724,             0.99352,              0.9357,            0.012479,            0.026852,            0.001372,            0.002476,            0.002476,            0.002476
                  78,            0.016453,            0.034356,           0.0017756,              0.9914,             0.99262,              0.9929,             0.92886,            0.012552,            0.027126,           0.0013564,            0.002377,            0.002377,            0.002377
                  79,             0.01674,            0.035675,           0.0019029,             0.99052,             0.99065,             0.99229,             0.92184,            0.012302,            0.027016,           0.0014119,            0.002278,            0.002278,            0.002278
                  80,            0.016706,             0.03525,           0.0019039,             0.99087,             0.98397,             0.99232,             0.92385,            0.012449,            0.026498,           0.0014715,            0.002179,            0.002179,            0.002179
