               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097647,             0.10345,            0.024819,             0.71065,             0.25915,             0.34467,             0.10646,            0.085486,              0.1543,            0.017762,            0.070857,           0.0032381,           0.0032381
                   1,            0.076697,            0.084156,            0.018058,            0.079244,             0.64889,             0.10156,            0.038948,            0.077213,            0.071088,            0.016691,            0.040792,           0.0065064,           0.0065064
                   2,            0.076547,            0.075437,            0.017736,             0.59809,             0.16808,             0.11102,            0.044414,            0.076635,            0.072357,            0.016405,            0.010661,           0.0097086,           0.0097086
                   3,            0.070039,            0.071124,            0.017406,             0.68203,             0.38545,             0.29797,            0.095271,            0.064552,            0.082143,            0.015852,            0.009703,            0.009703,            0.009703
                   4,            0.058811,            0.066691,            0.017223,             0.72485,             0.34178,             0.36593,             0.14995,            0.054491,            0.062167,            0.015994,            0.009703,            0.009703,            0.009703
                   5,            0.053431,            0.063161,            0.016579,             0.47912,             0.67026,             0.63315,             0.35261,            0.045884,            0.054284,            0.014926,            0.009604,            0.009604,            0.009604
                   6,            0.050479,            0.059229,             0.01562,             0.73122,             0.84784,             0.85728,             0.51477,            0.035989,            0.049906,            0.013524,            0.009505,            0.009505,            0.009505
                   7,            0.045999,            0.057397,            0.014367,             0.74952,             0.78661,             0.74567,             0.31722,            0.041291,            0.050292,             0.01215,            0.009406,            0.009406,            0.009406
                   8,            0.044758,            0.054728,            0.013196,             0.78561,             0.84647,             0.88293,             0.51937,            0.037504,            0.050102,            0.011223,            0.009307,            0.009307,            0.009307
                   9,            0.040454,             0.05479,            0.011772,             0.79455,             0.90331,             0.91482,               0.571,            0.031307,            0.049177,           0.0099242,            0.009208,            0.009208,            0.009208
                  10,            0.038594,            0.052142,            0.010515,             0.92043,             0.85676,             0.93482,             0.54074,            0.036719,            0.046415,           0.0080415,            0.009109,            0.009109,            0.009109
                  11,            0.038082,            0.050658,           0.0089722,              0.8998,             0.89166,             0.94122,             0.53114,            0.034874,            0.048569,           0.0061608,             0.00901,             0.00901,             0.00901
                  12,            0.037138,            0.051308,           0.0072871,             0.92039,             0.92123,             0.95557,             0.58394,            0.031705,            0.043489,           0.0050111,            0.008911,            0.008911,            0.008911
                  13,            0.036112,            0.048753,           0.0062803,             0.82791,             0.92941,             0.93296,             0.60983,            0.028582,             0.04221,           0.0044587,            0.008812,            0.008812,            0.008812
                  14,            0.035072,            0.047049,           0.0060992,             0.95275,             0.93531,             0.96843,             0.60635,            0.031847,            0.043978,           0.0041552,            0.008713,            0.008713,            0.008713
                  15,            0.033662,            0.046419,            0.005383,             0.98005,             0.95292,              0.9729,             0.69141,            0.028874,            0.041505,           0.0039748,            0.008614,            0.008614,            0.008614
                  16,            0.033213,            0.044137,           0.0052568,             0.97033,             0.96015,             0.97314,             0.68192,            0.027578,             0.03992,           0.0037078,            0.008515,            0.008515,            0.008515
                  17,            0.031136,            0.044495,           0.0045979,             0.98542,             0.94176,             0.97311,             0.69349,            0.026288,            0.040789,            0.003659,            0.008416,            0.008416,            0.008416
                  18,            0.031406,             0.04613,           0.0046172,             0.97292,             0.95223,             0.97665,             0.74685,            0.025023,            0.038349,            0.003412,            0.008317,            0.008317,            0.008317
                  19,            0.031361,            0.045099,           0.0047584,             0.98413,             0.95797,             0.97658,             0.76932,            0.022923,            0.037839,           0.0033615,            0.008218,            0.008218,            0.008218
                  20,            0.030375,            0.043417,           0.0040736,             0.97797,             0.95565,             0.98015,             0.73625,            0.025833,             0.03946,            0.003386,            0.008119,            0.008119,            0.008119
                  21,            0.029841,             0.04415,           0.0040938,             0.94246,             0.96107,             0.98109,             0.75804,            0.022552,            0.036779,           0.0029592,             0.00802,             0.00802,             0.00802
                  22,            0.027105,            0.043032,           0.0039207,             0.98473,              0.9638,             0.99089,             0.78167,            0.021888,            0.037177,           0.0027354,            0.007921,            0.007921,            0.007921
                  23,            0.028766,            0.039942,           0.0037063,             0.98312,             0.98282,             0.99225,             0.73357,            0.023936,            0.037471,           0.0028453,            0.007822,            0.007822,            0.007822
                  24,            0.029419,            0.041204,           0.0034689,             0.97967,             0.97719,             0.99109,             0.76562,            0.024789,            0.037371,           0.0026864,            0.007723,            0.007723,            0.007723
                  25,            0.028687,            0.042003,            0.003262,             0.98658,              0.9744,             0.99213,              0.8067,            0.023198,            0.037225,           0.0026738,            0.007624,            0.007624,            0.007624
                  26,            0.028202,            0.041662,           0.0034047,             0.98711,             0.98159,             0.99139,             0.84158,            0.019655,            0.033361,           0.0024596,            0.007525,            0.007525,            0.007525
                  27,            0.027792,            0.039592,           0.0031143,             0.97692,             0.97803,             0.99068,             0.74554,            0.025103,             0.03631,           0.0026884,            0.007426,            0.007426,            0.007426
                  28,            0.028409,            0.038902,           0.0029085,             0.97453,             0.97904,             0.99197,             0.83279,             0.02038,            0.033469,           0.0025342,            0.007327,            0.007327,            0.007327
                  29,            0.026313,            0.038876,           0.0031193,             0.97946,             0.97802,             0.99055,             0.82926,            0.019994,            0.033356,           0.0022303,            0.007228,            0.007228,            0.007228
                  30,            0.025048,            0.040982,           0.0030267,             0.97746,              0.9822,             0.99078,              0.8087,            0.019717,            0.034006,           0.0022073,            0.007129,            0.007129,            0.007129
                  31,            0.026427,            0.038252,           0.0027232,             0.98424,             0.97701,             0.99087,             0.86431,            0.019431,            0.032887,           0.0024771,             0.00703,             0.00703,             0.00703
                  32,            0.026629,            0.038143,           0.0029263,             0.98401,             0.97813,             0.99287,             0.86111,            0.018362,            0.031911,           0.0022445,            0.006931,            0.006931,            0.006931
                  33,            0.025742,            0.038801,           0.0027488,             0.98213,             0.98044,             0.99183,             0.84039,            0.019774,            0.032645,           0.0021452,            0.006832,            0.006832,            0.006832
                  34,            0.024916,            0.037996,           0.0027733,             0.98956,             0.97857,             0.99208,             0.86024,            0.018837,            0.032035,             0.00208,            0.006733,            0.006733,            0.006733
