               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11041,            0.086885,            0.027511,            0.017757,             0.53156,            0.025548,           0.0062526,            0.085762,            0.078504,            0.024743,              0.0874,              0.0014,              0.0014
                   1,              0.0853,            0.098724,            0.021539,             0.55498,             0.28862,            0.061628,            0.019819,            0.076045,            0.083331,            0.017137,            0.073871,           0.0028713,           0.0028713
                   2,            0.074421,            0.084148,            0.016813,             0.71066,             0.33943,             0.32571,             0.12683,            0.070393,            0.062195,            0.015252,            0.060313,           0.0043129,           0.0043129
                   3,            0.069921,            0.073736,            0.015688,             0.68954,             0.30774,              0.2459,             0.11686,            0.070872,            0.049182,             0.01491,            0.046725,           0.0057248,           0.0057248
                   4,             0.07519,            0.068225,            0.015726,             0.78602,             0.26423,              0.3429,             0.20163,            0.062832,            0.041873,            0.014931,            0.033107,            0.007107,            0.007107
                   5,            0.071437,            0.064402,            0.014968,             0.77626,             0.19207,             0.33177,             0.11589,             0.07105,            0.040779,            0.014547,            0.019459,           0.0084594,           0.0084594
                   6,            0.076346,            0.059955,            0.015017,             0.81931,             0.33585,             0.35104,            0.087879,             0.07059,            0.036962,            0.014199,            0.009406,            0.009406,            0.009406
                   7,            0.079332,            0.055365,             0.01529,              0.9208,             0.35637,             0.60413,             0.31478,            0.056636,            0.038325,            0.013516,            0.009406,            0.009406,            0.009406
                   8,            0.064323,             0.05966,            0.014754,             0.78924,             0.35982,             0.57789,             0.27989,            0.055435,            0.043165,             0.01283,            0.009307,            0.009307,            0.009307
                   9,              0.0585,            0.057049,             0.01438,             0.29027,             0.91905,             0.74973,             0.34558,            0.058854,            0.040235,            0.012106,            0.009208,            0.009208,            0.009208
                  10,            0.054882,            0.049863,            0.013501,             0.52141,             0.86464,               0.852,             0.38649,            0.047191,            0.036585,            0.011471,            0.009109,            0.009109,            0.009109
                  11,            0.051436,            0.053748,            0.013224,             0.59412,             0.81226,             0.83934,             0.45952,             0.04281,            0.033231,            0.010737,             0.00901,             0.00901,             0.00901
                  12,             0.05012,            0.052307,             0.01263,             0.66381,             0.81206,             0.77161,              0.4738,            0.049159,            0.033272,            0.010196,            0.008911,            0.008911,            0.008911
                  13,             0.04725,            0.049365,            0.012673,             0.59637,             0.96274,             0.94059,             0.54443,            0.044803,            0.032635,           0.0097193,            0.008812,            0.008812,            0.008812
                  14,            0.042257,            0.052953,             0.01218,             0.79562,             0.88803,             0.94541,             0.50014,            0.035066,            0.034693,           0.0092066,            0.008713,            0.008713,            0.008713
                  15,            0.043546,            0.054606,            0.011467,             0.75365,             0.82083,             0.92384,             0.59808,            0.040491,            0.030885,           0.0081131,            0.008614,            0.008614,            0.008614
                  16,            0.043077,            0.049369,            0.010826,             0.83632,             0.87153,             0.95219,             0.55175,            0.029559,            0.027908,            0.007856,            0.008515,            0.008515,            0.008515
                  17,            0.041836,            0.049249,           0.0099035,             0.70841,             0.92185,             0.95192,             0.59864,            0.040684,            0.030652,           0.0073784,            0.008416,            0.008416,            0.008416
                  18,            0.041241,            0.044207,           0.0094744,             0.86021,             0.82143,             0.95075,             0.66972,            0.035055,            0.028264,            0.006017,            0.008317,            0.008317,            0.008317
                  19,            0.040225,            0.044971,           0.0091771,             0.78549,             0.80668,             0.94165,             0.61357,            0.038712,            0.027843,           0.0052587,            0.008218,            0.008218,            0.008218
                  20,            0.039553,             0.04719,           0.0092308,             0.95305,             0.87435,             0.97882,             0.66065,            0.028875,            0.025631,           0.0048386,            0.008119,            0.008119,            0.008119
                  21,            0.038746,            0.045083,           0.0080685,             0.83767,              0.8915,             0.96153,             0.60206,            0.042983,            0.027831,           0.0041125,             0.00802,             0.00802,             0.00802
                  22,            0.036569,            0.044895,           0.0079347,             0.94691,             0.91905,             0.98116,             0.63346,            0.037559,            0.027901,           0.0039321,            0.007921,            0.007921,            0.007921
                  23,            0.037077,            0.046341,           0.0069247,             0.94835,             0.93058,             0.97522,             0.72445,            0.036856,            0.027135,           0.0036369,            0.007822,            0.007822,            0.007822
                  24,            0.036022,            0.044143,           0.0067486,             0.94596,             0.94843,             0.98474,              0.7173,            0.025294,            0.023603,           0.0035112,            0.007723,            0.007723,            0.007723
                  25,              0.0333,            0.042998,           0.0068303,             0.78708,             0.78505,             0.88696,             0.65011,              0.0371,            0.027907,           0.0032792,            0.007624,            0.007624,            0.007624
                  26,            0.034571,            0.043521,           0.0062883,             0.92758,             0.93813,             0.98015,             0.73036,            0.032282,            0.025935,           0.0032427,            0.007525,            0.007525,            0.007525
                  27,            0.032811,            0.043481,           0.0057316,              0.9388,              0.9604,             0.97733,             0.74964,            0.034555,            0.025187,           0.0031671,            0.007426,            0.007426,            0.007426
                  28,            0.033433,             0.04295,           0.0056885,             0.94013,             0.95665,             0.98108,              0.7562,            0.023999,            0.021856,           0.0030162,            0.007327,            0.007327,            0.007327
                  29,            0.032121,            0.040069,           0.0054493,             0.95298,             0.95816,             0.98459,             0.73285,            0.033774,            0.026072,           0.0028536,            0.007228,            0.007228,            0.007228
